Candidatus_TM7_SBR4,nan
rifle_mag_GWE1_37_24,MAG
Microgenomates_bacterium_SCGC_AAA011_L6,nan
rifle_mag_GWB1_40_14,MAG
troutbog_mag_00417,MAG
rifle_mag_GWA2_47_7,MAG
rifle_mag_GWA2_44_26,MAG
rifle_mag_GWC1_38_22,MAG
rifle_mag_GWD2_37_9,MAG
rifle_mag_GWD2_38_11,MAG
troutbog_mag_00033,MAG
rifle_mag_GWA2_44_9,MAG
rifle_mag_GWA2_43_11,MAG
Candidatus_TM7_SBR3,nan
rifle_mag_GWA2_52_12,MAG
rifle_mag_GWE2_35_2_,MAG
rifle_mag_GWE2_44_13,MAG
rifle_mag_GWF2_38_76,MAG
rifle_mag_GWE2_47_10,MAG
rifle_mag_GWF2_41_40,MAG
rifle_mag_GWC1_41_20,MAG
rifle_mag_GWF2_37_11,MAG
rifle_mag_GWB1_41_7,MAG
rifle_mag_GWE1_39_46,MAG
rifle_mag_GWA2_49_9,MAG
rifle_mag_GWA2_42_220,MAG
rifle_mag_GWD1_41_16,MAG
wrighton_mag_ACD76,SAG
rifle_mag_GWC2_40_450,MAG
alinen_mag_113,MAG
wrighton_mag_ACD63,SAG
troutbog_mag_00202,MAG
rifle_mag_GWF2_44_17,MAG
rifle_mag_GWB1_44_23,MAG
rifle_mag_GWC1_45_14,MAG
rifle_mag_GWC2_46_275,MAG
rifle_mag_GWD1_37_17,MAG
troutbog_mag_00143,MAG
rifle_mag_GWF2_43_32,MAG
rifle_mag_GWF2_42_19,MAG
rifle_mag_GWA2_45_39,MAG
rifle_mag_GWA1_46_11,MAG
troutbog_mag_00579,MAG
rifle_mag_GWE1_49_15,MAG
wrighton_mag_ACD43,SAG
rifle_mag_GWA2_37_8,MAG
rifle_mag_GWE2_35_164,MAG
rifle_mag_GWB1_47_243,MAG
troutbog_mag_00413,MAG
troutbog_mag_00283,MAG
rifle_mag_GWC2_45_15,MAG
rifle_mag_GWA2_44_12,MAG
rifle_mag_GWA2_47_26,MAG
rifle_mag_GWA1_47_8,MAG
troutbog_mag_00104,MAG
rifle_mag_GWA2_43_9b,MAG
rifle_mag_GWE1_40_20,MAG
rifle_mag_GWC1_50_9,MAG
rifle_mag_GWC1_44_10,MAG
rifle_mag_GWA1_36_12,MAG
rifle_mag_GWA2_47_16,MAG
rifle_mag_GWC2_37_82,MAG
rifle_mag_GWE1_36_7,MAG
rifle_mag_GWF2_34_56,MAG
rifle_mag_GWE2_42_14,MAG
rifle_mag_GWA2_42_15,MAG
rifle_mag_GWD2_52_7,MAG
rifle_mag_GWA2_47_10b,MAG
rifle_mag_GWE1_36_71,MAG
rifle_mag_GWC2_38_7,MAG
rifle_mag_GWC2_40_31,MAG
deepbio_1_mag_25,MAG
rifle_mag_GWD2_36_14,MAG
rifle_mag_GWF2_40_10,MAG
troutbog_mag_00590,MAG
rifle_mag_GWB1_36_6,MAG
rifle_mag_GWA2_36_10,MAG
troutbog_mag_00221,MAG
rifle_mag_GWA2_44_13,MAG
rifle_mag_GWC1_37_9,MAG
rifle_mag_GWD2_41_121,MAG
rifle_mag_GWF2_36_19,MAG
rifle_mag_GWF2_36_126,MAG
rifle_mag_GWF1_39_37,MAG
rifle_mag_GWF1_36_47,MAG
rifle_mag_GWE1_35_16,MAG
rifle_mag_GWD1_36_198,MAG
rifle_mag_GWA1_38_7,MAG
rifle_mag_GWC2_36_9,MAG
rifle_mag_GWC2_45_7,MAG
rifle_mag_GWC2_39_41,MAG
troutbog_mag_00674,MAG
rifle_mag_GWF2_40_69,MAG
rifle_mag_GWA2_47_9,MAG
rifle_mag_GWB2_41_36,MAG
rifle_mag_GWF1_34_20,MAG
rifle_mag_GWE2_34_25,MAG
rifle_mag_GWF1_31_48,MAG
deepbio_2_mag_3,MAG
rifle_mag_GWA1_40_21,MAG
rifle_mag_GWA2_40_37,MAG
deepbio_1_mag_01,MAG
rifle_mag_GWA2_45_30,MAG
rifle_mag_GWC2_41_17,MAG
rifle_mag_GWB1_49_9,MAG
rifle_mag_GWC1_43_12,MAG
rifle_mag_GWC1_45_13,MAG
rifle_mag_GWB1_56_8,MAG
rifle_mag_GWD2_39_12,MAG
rifle_mag_GWC2_40_10,MAG
rifle_mag_GWD2_36_198,MAG
Candidate_Division_TM7_bacterium_JGI_0001002_L20__contamination_screened_,nan
rifle_mag_GWD2_40_9,MAG
rifle_mag_GWC1_43_30,MAG
rifle_mag_GWD2_43_10,MAG
rifle_mag_GWA1_44_29,MAG
rifle_mag_GWB2_46_37,MAG
troutbog_mag_00926,MAG
rifle_mag_GWE2_40_11,MAG
rifle_mag_GWC2_44_9,MAG
rifle_mag_GWA1_51_12,MAG
rifle_mag_GWE2_40_58,MAG
rifle_mag_GWC1_35_31,MAG
rifle_mag_GWD1_35_49,MAG
rifle_mag_GWC2_45_10,MAG
rifle_mag_GWE1_48_7,MAG
rifle_mag_GWD2_35_24,MAG
rifle_mag_GWA2_43_15,MAG
rifle_mag_GWC1_39_12,MAG
rifle_mag_GWA1_47_10,MAG
rifle_mag_GWB1_42_6,MAG
rifle_mag_GWA2_40_143,MAG
rifle_mag_GWB1_37_5,MAG
rifle_mag_GWB1_43_7,MAG
oilsands_mag_059,MAG
rifle_mag_GWE2_40_10,MAG
troutbog_mag_00742,MAG
rifle_mag_GWC2_45_8,MAG
rifle_mag_GWC1_40_11,MAG
troutbog_mag_01080,MAG
rifle_mag_GWA2_37_10,MAG
rifle_mag_GWF2_42_7,MAG
rifle_mag_GWB1_40_11,MAG
rifle_mag_GWA2_51_10,MAG
rifle_mag_GWC1_38_17,MAG
rifle_mag_GWA2_40_97,MAG
rifle_mag_GWB1_43_13,MAG
troutbog_mag_00811,MAG
troutbog_mag_00793,MAG
rifle_mag_GWA2_52_8d,MAG
rifle_mag_GWA1_56_13,MAG
rifle_mag_GWF1_36_4,MAG
rifle_mag_GWB1_52_7,MAG
rifle_mag_GWC1_48_11,MAG
rifle_mag_GWB1_46_20,MAG
rifle_mag_GWE2_31_40,MAG
